,Year,Country,freedom,Protest_Name,Motivations,Peak_Size
243,2015,Haiti,Partly free,"political behavior, process",,50+
244,2016,Haiti,Partly free,removal of politician,,about 2000
245,2016,Haiti,Partly free,"political behavior, process",social restrictions,hundreds
246,2016,Haiti,Partly free,"political behavior, process",social restrictions,hundreds
249,2018,Haiti,Partly free,police brutality,,hundreds
250,2018,Haiti,Partly free,"price increases, tax policy",,several hundred
251,2018,Haiti,Partly free,"political behavior, process",,tens of thousands
252,2018,Haiti,Partly free,"political behavior, process",removal of politician,thousands
253,2018,Haiti,Partly free,"political behavior, process",removal of politician,thousands
254,2019,Haiti,Partly free,"political behavior, process",removal of politician,thousands
255,2019,Haiti,Partly free,"political behavior, process",removal of politician,hundreds
256,2019,Haiti,Partly free,"political behavior, process",removal of politician,hundreds
257,2019,Haiti,Partly free,"political behavior, process",removal of politician,thousands
258,1990,Dominican Republic,Free,"political behavior, process",,100s
259,1990,Dominican Republic,Free,"price increases, tax policy",,1000s
260,1990,Dominican Republic,Free,"price increases, tax policy",,100s
261,1990,Dominican Republic,Free,"price increases, tax policy",,100s
262,1991,Dominican Republic,Free,"price increases, tax policy",,50
263,1991,Dominican Republic,Free,"price increases, tax policy",,100s
264,1991,Dominican Republic,Free,"price increases, tax policy",,100s
265,1992,Dominican Republic,Free,"political behavior, process",,50
266,1993,Dominican Republic,Partly free,labor wage dispute,,50
267,1994,Dominican Republic,Partly free,"political behavior, process",,50
268,1994,Dominican Republic,Partly free,"political behavior, process",,50
269,1995,Dominican Republic,Partly free,"price increases, tax policy",,100s
270,1995,Dominican Republic,Partly free,"political behavior, process",,300
271,1995,Dominican Republic,Partly free,"political behavior, process",,100s
272,1995,Dominican Republic,Partly free,"price increases, tax policy",,100s
273,1995,Dominican Republic,Partly free,labor wage dispute,,100s
274,1995,Dominican Republic,Partly free,police brutality,,50
275,1996,Dominican Republic,Partly free,police brutality,,100s
276,1996,Dominican Republic,Partly free,"political behavior, process",,50
277,1996,Dominican Republic,Partly free,"political behavior, process",,50
278,1997,Dominican Republic,Partly free,"price increases, tax policy",,100s
279,1997,Dominican Republic,Partly free,"price increases, tax policy",,100s
280,1997,Dominican Republic,Partly free,"price increases, tax policy",labor wage dispute,100s
281,1997,Dominican Republic,Partly free,"political behavior, process",,100s
282,1997,Dominican Republic,Partly free,"price increases, tax policy","political behavior, process",50
283,1998,Dominican Republic,Free,"political behavior, process","price increases, tax policy",100s
284,1998,Dominican Republic,Free,"political behavior, process",,50
285,1998,Dominican Republic,Free,"political behavior, process",,50
286,1998,Dominican Republic,Free,"political behavior, process",,100s
287,1999,Dominican Republic,Free,"price increases, tax policy","political behavior, process",100s
288,1999,Dominican Republic,Free,"political behavior, process",,100s
289,2000,Dominican Republic,Free,labor wage dispute,"political behavior, process",100s
290,2001,Dominican Republic,Free,police brutality,,100s
291,2001,Dominican Republic,Free,"political behavior, process",,500
292,2001,Dominican Republic,Free,"political behavior, process",,100s
293,2002,Dominican Republic,Free,"political behavior, process",,50
294,2003,Dominican Republic,Free,"political behavior, process",,50
295,2003,Dominican Republic,Free,"price increases, tax policy","political behavior, process",100s
296,2004,Dominican Republic,Free,"price increases, tax policy",,50
297,2012,Dominican Republic,Free,"price increases, tax policy",,100s
298,2012,Dominican Republic,Free,"price increases, tax policy","political behavior, process",1000s
323,2018,Dominican Republic,Partly free,"political behavior, process",,tens of thousands
324,2018,Dominican Republic,Partly free,"political behavior, process",,tens of thousands
325,2018,Dominican Republic,Partly free,"political behavior, process",,tens of thousands
326,2018,Dominican Republic,Partly free,social restrictions,,thousands
327,1991,Jamaica,Free,labor wage dispute,,80
328,1991,Jamaica,Free,"price increases, tax policy",,100s
329,1993,Jamaica,Free,police brutality,,270
330,1996,Jamaica,Free,"political behavior, process",,50
331,1998,Jamaica,Free,"political behavior, process",,100s
332,1999,Jamaica,Free,"price increases, tax policy",,100s
333,1999,Jamaica,Free,police brutality,,100s
334,2001,Jamaica,Free,police brutality,,1000
335,2002,Jamaica,Free,"political behavior, process",,1000
336,2003,Jamaica,Free,"price increases, tax policy",,100s
337,2003,Jamaica,Free,labor wage dispute,,100s
338,2003,Jamaica,Free,police brutality,,300
339,2003,Jamaica,Free,police brutality,,4000
340,2003,Jamaica,Free,police brutality,,1000s
341,2004,Jamaica,Free,police brutality,,500
342,2004,Jamaica,Free,police brutality,,100s
343,2005,Jamaica,Free,"political behavior, process",,100s
344,2005,Jamaica,Free,"price increases, tax policy",,100s
345,2006,Jamaica,Free,police brutality,,3000
346,2010,Jamaica,Free,"political behavior, process",,100s
347,2014,Jamaica,Free,police brutality,,50+
348,2014,Jamaica,Free,"political behavior, process",,50+
349,2014,Jamaica,Free,labor wage dispute,,50+
350,2014,Jamaica,Free,police brutality,,50+
351,2014,Jamaica,Free,police brutality,,50+
352,2014,Jamaica,Free,police brutality,,50+
353,2014,Jamaica,Free,"price increases, tax policy",,100s
354,2015,Jamaica,Free,labor wage dispute,,50+
355,1990,Mexico,Partly free,"political behavior, process",,50
356,1990,Mexico,Partly free,"political behavior, process",,350
357,1990,Mexico,Partly free,"political behavior, process",,200
358,1990,Mexico,Partly free,"political behavior, process",,5000
359,1990,Mexico,Partly free,"political behavior, process",,50
360,1991,Mexico,Partly free,"political behavior, process",,20000
361,1991,Mexico,Partly free,"political behavior, process",,20000
362,1991,Mexico,Partly free,"political behavior, process",,50
363,1991,Mexico,Partly free,"political behavior, process",,100s
364,1992,Mexico,Partly free,"political behavior, process",,1000s
365,1992,Mexico,Partly free,"political behavior, process",,100s-10000s
366,1992,Mexico,Partly free,"political behavior, process",,1000s
367,1992,Mexico,Partly free,"political behavior, process",,2000
368,1992,Mexico,Partly free,"price increases, tax policy",,2000
369,1993,Mexico,Partly free,"political behavior, process",,100000
370,1994,Mexico,Partly free,"political behavior, process",,1000s
371,1994,Mexico,Partly free,"political behavior, process",,400
372,1994,Mexico,Partly free,"political behavior, process",removal of politician,100s
373,1994,Mexico,Partly free,"political behavior, process",,3000
374,1994,Mexico,Partly free,"political behavior, process",,1000s
375,1994,Mexico,Partly free,"political behavior, process",,1000s
376,1994,Mexico,Partly free,"political behavior, process",,2000
377,1994,Mexico,Partly free,"political behavior, process",,100s
378,1994,Mexico,Partly free,"political behavior, process",,50
379,1994,Mexico,Partly free,"political behavior, process",,10000s
380,1994,Mexico,Partly free,"political behavior, process",,10000
381,1994,Mexico,Partly free,"political behavior, process",,8000
382,1995,Mexico,Partly free,"political behavior, process",,100s
383,1995,Mexico,Partly free,"price increases, tax policy",,100s
384,1995,Mexico,Partly free,"political behavior, process",,30000
385,1995,Mexico,Partly free,"political behavior, process",,100s
386,1995,Mexico,Partly free,"political behavior, process",,100000
387,1995,Mexico,Partly free,"political behavior, process",,100s
388,1995,Mexico,Partly free,"political behavior, process",,70000
389,1995,Mexico,Partly free,"political behavior, process",,100
390,1995,Mexico,Partly free,"political behavior, process",,100s
391,1995,Mexico,Partly free,land farm issue,,100s
392,1996,Mexico,Partly free,"political behavior, process",,1000s
393,1996,Mexico,Partly free,"political behavior, process",,1000
394,1996,Mexico,Partly free,"political behavior, process",,100s
395,1996,Mexico,Partly free,"political behavior, process",,1000s
396,1996,Mexico,Partly free,"political behavior, process",,100s
397,1996,Mexico,Partly free,"political behavior, process",,1500
398,1997,Mexico,Partly free,"political behavior, process",,20000
399,1997,Mexico,Partly free,"political behavior, process",,1100-10000s
400,1997,Mexico,Partly free,"political behavior, process",police brutality,10000s
401,1998,Mexico,Partly free,"political behavior, process",,1000
402,1998,Mexico,Partly free,police brutality,"political behavior, process",80000
403,1998,Mexico,Partly free,police brutality,"political behavior, process",50
404,1998,Mexico,Partly free,"political behavior, process",,10000
405,1998,Mexico,Partly free,"political behavior, process",,100s
406,1998,Mexico,Partly free,"political behavior, process",,1000
407,1998,Mexico,Partly free,removal of politician,,10000
408,1998,Mexico,Partly free,"political behavior, process",,50
409,1999,Mexico,Partly free,"political behavior, process",,10000
410,1999,Mexico,Partly free,"political behavior, process",,1000
411,1999,Mexico,Partly free,police brutality,,300
412,1999,Mexico,Partly free,"political behavior, process",,100s
413,2000,Mexico,Free,labor wage dispute,,1000
414,2000,Mexico,Free,police brutality,,100s
415,2000,Mexico,Free,labor wage dispute,,2000
416,2000,Mexico,Free,"political behavior, process",,60
417,2000,Mexico,Free,"political behavior, process",,100s
418,2000,Mexico,Free,labor wage dispute,,1000s
419,2000,Mexico,Free,police brutality,"political behavior, process",100s
420,2000,Mexico,Free,labor wage dispute,,400
421,2001,Mexico,Free,police brutality,,100s
422,2001,Mexico,Free,"political behavior, process",,100000
423,2001,Mexico,Free,"political behavior, process",,1000s
424,2002,Mexico,Free,land farm issue,,100s-1000
425,2003,Mexico,Free,"political behavior, process",,10000s
426,2003,Mexico,Free,"political behavior, process",,300
